Site,Product,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,Version,List of Failing Tests,BUILD_MATRIX_CONFIG,FATAL ERROR UNIT_OUT_OF_PROCESS [ACTIVE] UNIT OUT OF PROCESS [ACTIVE],MoveDUTToFixture_AfterPriming,tc=Ether_Scan tech=ARROW:subtc=EIRP Omnia=0:freq=7.850000GHz:ant=ant_0,tc=Ether_Scan tech=ARROW:subtc=EIRP Omnia=0:freq=7.900000GHz:ant=ant_0,tc=Ether_Scan tech=ARROW:subtc=EIRP Omnia=0:freq=7.950000GHz:ant=ant_0,tc=Ether_Scan tech=ARROW:subtc=EIRP Omnia=0:freq=8.000000GHz:ant=ant_0,tc=Ether_Scan tech=ARROW:subtc=EIRP Omnia=0:freq=8.050000GHz:ant=ant_0,tc=Ether_Scan tech=ARROW:subtc=EIRP Omnia=0:freq=8.100000GHz:ant=ant_0,tc=Ether_Scan tech=ARROW:subtc=EIRP Omnia=0:freq=8.150000GHz:ant=ant_0
LXKS,B589,D24KXFYQDW,B589-PROTO,B589-PROTO_MA5-RF,,LXKS_A03-2FT-11_14_A-OTA,PASS,2025/7/3 9:25,2025/7/3 9:27,20ADkP180.C99DM133,,MA5-RF,,,-138.722412,-138.257492,-137.918304,-137.546875,-138.185287,-138.878891,-139.975037
LXKS,B589,DR43LJHJ4V,B589-PROTO,B589-PROTO_ACOUSTICD2,,LXKS_A03-2FT-11_9_A-OTA,PASS,2025/7/3 10:03,2025/7/3 10:08,20ADkP180.C99DM133,,ACOUSTICD2,,,-138.352036,-138.005463,-138.453659,-139.185852,-139.411591,-140.511108,-141.132355
LXKS,B589,DVJXWFV0CX,B589-PROTO,B589-PROTO_ACOUSTICD3,,LXKS_A03-2FT-11_11_A-OTA,PASS,2025/7/3 10:31,2025/7/3 10:33,20ADkP180.C99DM133,,ACOUSTICD3,,,-138.18338,-137.469452,-137.759232,-137.924805,-138.286133,-139.416565,-139.913101
LXKS,B589,DYJMVQ7QDT,B589-PROTO,B589-PROTO_MA5-REL,,LXKS_A03-2FT-11_13_A-OTA,PASS,2025/7/3 9:29,2025/7/3 9:31,20ADkP180.C99DM133,,MA5-REL,,,-138.325928,-137.37326,-137.93718,-138.155029,-137.718079,-139.235596,-139.777161
LXKS,B589,F0XHL036WJ,B589-PROTO,B589-PROTO_ACOUSTICD1,,LXKS_A03-2FT-11_9_A-OTA,PASS,2025/7/3 10:18,2025/7/3 10:30,20ADkP180.C99DM133,,ACOUSTICD1,,,-138.22142,-137.757263,-137.8508,-138.285095,-138.769989,-139.829834,-140.844101
LXKS,B589,FK9YY09YLV,B589-PROTO,B589-PROTO_ACOUSTICD2,,LXKS_A03-2FT-11_14_A-OTA,PASS,2025/7/3 10:14,2025/7/3 10:16,20ADkP180.C99DM133,,ACOUSTICD2,,,-137.919495,-136.664581,-137.514389,-137.500259,-138.001129,-138.844513,-139.327423
LXKS,B589,FQK9Q2W277,B589-PROTO,B589-PROTO_ACOUSTICD1,,LXKS_A03-2FT-11_10_A-OTA,PASS,2025/7/3 10:22,2025/7/3 10:24,20ADkP180.C99DM133,,ACOUSTICD1,,,-140.195251,-138.691727,-140.022675,-140.146088,-139.888519,-141.128174,-140.918427
LXKS,B589,FYKRFG90K4,B589-PROTO,B589-PROTO_ACOUSTICD3,,LXKS_A03-2FT-11_1_A-OTA,PASS,2025/7/3 10:26,2025/7/3 10:28,20ADkP180.C99DM133,,ACOUSTICD3,,,-139.563629,-138.645065,-139.460297,-139.380966,-138.972778,-140.229736,-140.597
LXKS,B589,G4YJMT7KHM,B589-PROTO,B589-PROTO_ACOUSTICD3,,LXKS_A03-2FT-11_13_A-OTA,PASS,2025/7/3 10:24,2025/7/3 10:26,20ADkP180.C99DM133,,ACOUSTICD3,,,-139.454575,-138.445297,-139.44191,-139.734558,-139.454254,-140.364563,-140.051697
LXKS,B589,G7X2X49G9F,B589-PROTO,B589-PROTO_ACOUSTICD1,,LXKS_A03-2FT-11_2_A-OTA,PASS,2025/7/3 10:20,2025/7/3 10:22,20ADkP180.C99DM133,,ACOUSTICD1,,,-139.263092,-138.242386,-138.739594,-138.711212,-138.946426,-140.047729,-140.537872
LXKS,B589,GGH34HVYD3,B589-PROTO,B589-PROTO_ACOUSTICD2,,LXKS_A03-2FT-11_11_A-OTA,PASS,2025/7/3 10:13,2025/7/3 10:16,20ADkP180.C99DM133,,ACOUSTICD2,,,-138.849197,-137.960205,-138.204453,-138.097,-138.813812,-139.78627,-140.59053
LXKS,B589,GHC9M3WH9V,B589-PROTO,B589-PROTO_ACOUSTICD2,,LXKS_A03-2FT-11_5_A-OTA,PASS,2025/7/3 10:17,2025/7/3 10:20,20ADkP180.C99DM133,,ACOUSTICD2,,,-138.238083,-136.958786,-137.154266,-137.47493,-137.817093,-139.010971,-139.964844
LXKS,B589,GHVJXJMGF7,B589-PROTO,B589-PROTO_ACOUSTICD1,,LXKS_A03-2FT-11_2_A-OTA,PASS,2025/7/3 10:17,2025/7/3 10:19,20ADkP180.C99DM133,,ACOUSTICD1,,,-138.426834,-137.827515,-138.506058,-138.740631,-138.915909,-140.314575,-140.641983
LXKS,B589,GQ10FK2FD9,B589-PROTO,B589-PROTO_ACOUSTICD3,,LXKS_A03-2FT-11_10_A-OTA,PASS,2025/7/3 10:26,2025/7/3 10:28,20ADkP180.C99DM133,,ACOUSTICD3,,,-137.994431,-137.366913,-138.572937,-139.042114,-138.372284,-139.749207,-139.771973
LXKS,B589,GT94MX296T,B589-PROTO,B589-PROTO_ACOUSTICD1,,LXKS_A03-2FT-11_14_A-OTA,PASS,2025/7/3 10:17,2025/7/3 10:20,20ADkP180.C99DM133,,ACOUSTICD1,,,-137.647766,-136.777206,-138.078476,-138.346207,-138.942932,-140.179443,-140.501602
LXKS,B589,GX9YYK4TFY,B589-PROTO,B589-PROTO_ACOUSTICD3,,LXKS_A03-2FT-11_13_A-OTA,PASS,2025/7/3 10:31,2025/7/3 10:34,20ADkP180.C99DM133,,ACOUSTICD3,,,-138.897751,-137.995941,-139.012451,-139.267044,-138.817795,-140.228699,-140.076859
LXKS,B589,H4RD2YJR2Y,B589-PROTO,B589-PROTO_ACOUSTICD2,,LXKS_A03-2FT-11_13_A-OTA,PASS,2025/7/3 10:13,2025/7/3 10:16,20ADkP180.C99DM133,,ACOUSTICD2,,,-137.839905,-136.799377,-137.653732,-137.881134,-137.865738,-139.195145,-139.302536
LXKS,B589,H95R4R3C3P,B589-PROTO,B589-PROTO_ACOUSTICD3,,LXKS_A03-2FT-11_14_A-OTA,PASS,2025/7/3 10:24,2025/7/3 10:27,20ADkP180.C99DM133,,ACOUSTICD3,,,-138.905441,-138.099411,-139.072388,-138.982025,-139.028534,-140.158279,-139.904373
LXKS,B589,HG1FHGVFQJ,B589-PROTO,B589-PROTO_ACOUSTICD1,,LXKS_A03-2FT-11_13_A-OTA,PASS,2025/7/3 10:17,2025/7/3 10:20,20ADkP180.C99DM133,,ACOUSTICD1,,,-139.057831,-137.372375,-138.222931,-138.51445,-138.306885,-139.488297,-139.366867
LXKS,B589,HLF972PFX9,B589-PROTO,B589-PROTO_ACOUSTICD2,,LXKS_A03-2FT-11_6_A-OTA,PASS,2025/7/3 10:14,2025/7/3 10:17,20ADkP180.C99DM133,,ACOUSTICD2,,,-137.8974,-137.671738,-137.978668,-138.32486,-138.628632,-139.716675,-140.244614
LXKS,B589,HMH9M540FG,B589-PROTO,B589-PROTO_ACOUSTICD1,,LXKS_A03-2FT-11_6_A-OTA,PASS,2025/7/3 10:18,2025/7/3 10:30,20ADkP180.C99DM133,,ACOUSTICD1,,,-137.829803,-137.359085,-137.727142,-138.309875,-138.806366,-140.244766,-140.790161
LXKS,B589,HXKH2J4YCC,B589-PROTO,B589-PROTO_MA5-DEBUG,,LXKS_A03-2FT-11_11_A-OTA,PASS,2025/7/3 9:27,2025/7/3 9:30,20ADkP180.C99DM133,,MA5-DEBUG,,,-139.371429,-138.344925,-137.760056,-137.1427,-137.035538,-138.004089,-139.003677
LXKS,B589,HXKVKQNCP7,B589-PROTO,B589-PROTO_MA5-REL,,LXKS_A03-2FT-11_14_A-OTA,PASS,2025/7/3 9:32,2025/7/3 9:34,20ADkP180.C99DM133,,MA5-REL,,,-138.811768,-138.412933,-138.791138,-138.039856,-137.833313,-138.320892,-138.943863
LXKS,B589,J12HQH7XMF,B589-PROTO,B589-PROTO_MA5-REL-G,,LXKS_A03-2FT-11_6_A-OTA,PASS,2025/7/3 10:47,2025/7/3 10:49,20ADkP180.C99DM133,,MA5-REL-G,,,-138.000504,-137.2052,-137.315369,-137.667221,-137.625168,-138.6091,-138.767029
LXKS,B589,J1C2VMG743,B589-PROTO,B589-PROTO_ACOUSTICD1,,LXKS_A03-2FT-11_11_A-OTA,PASS,2025/7/3 10:17,2025/7/3 10:20,20ADkP180.C99DM133,,ACOUSTICD1,,,-138.282303,-137.752899,-138.172577,-138.587692,-139.027496,-140.044357,-140.6427
LXKS,B589,J3LQ20L02L,B589-PROTO,B589-PROTO_ACOUSTICD3,,LXKS_A03-2FT-11_2_A-OTA,PASS,2025/7/3 10:25,2025/7/3 10:28,20ADkP180.C99DM133,,ACOUSTICD3,,,-140.395554,-139.294434,-140.002625,-139.826462,-139.597672,-140.88765,-140.619125
LXKS,B589,J421463YN2,B589-PROTO,B589-PROTO_ACOUSTICD3,,LXKS_A03-2FT-11_11_A-OTA,PASS,2025/7/3 10:24,2025/7/3 10:26,20ADkP180.C99DM133,,ACOUSTICD3,,,-139.136719,-138.191849,-137.927597,-137.704498,-137.758362,-139.040344,-139.411743
LXKS,B589,JGP42RJVNC,B589-PROTO,B589-PROTO_ACOUSTICD2,,LXKS_A03-2FT-11_6_A-OTA,PASS,2025/7/3 10:03,2025/7/3 10:08,20ADkP180.C99DM133,,ACOUSTICD2,,,-137.723282,-136.687881,-137.057343,-137.294601,-137.798874,-139.287766,-139.96312
LXKS,B589,JQ6G3X7MX4,B589-PROTO,B589-PROTO_MA4-DEBUG,,LXKS_A03-2FT-11_14_A-OTA,PASS,2025/7/3 9:29,2025/7/3 9:31,20ADkP180.C99DM133,,MA4-DEBUG,,,-137.105591,-136.431427,-136.642853,-136.961517,-137.824615,-138.407928,-139.726654
LXKS,B589,JTQH3Q2M5G,B589-PROTO,B589-PROTO_ACOUSTICD2,,LXKS_A03-2FT-11_6_A-OTA,PASS,2025/7/3 10:33,2025/7/3 10:37,20ADkP180.C99DM133,,ACOUSTICD2,,,-138.579559,-138.103241,-138.459976,-139.043365,-139.193939,-140.067963,-140.086182
LXKS,B589,JYN3J6W6QH,B589-PROTO,B589-PROTO_ACOUSTICD3,,LXKS_A03-2FT-11_11_A-OTA,PASS,2025/7/3 10:27,2025/7/3 10:30,20ADkP180.C99DM133,,ACOUSTICD3,,,-138.869873,-138.287262,-138.892487,-138.983002,-139.44899,-140.51004,-140.522217
LXKS,B589,KV9F42WLG2,B589-PROTO,B589-PROTO_ACOUSTICD2,,LXKS_A03-2FT-11_5_A-OTA,PASS,2025/7/3 10:14,2025/7/3 10:17,20ADkP180.C99DM133,,ACOUSTICD2,,,-138.725037,-137.583527,-137.614868,-137.541794,-137.866165,-139.191437,-140.07756
LXKS,B589,KVK1WQ7H6G,B589-PROTO,B589-PROTO_MA5-DEBUG,,LXKS_A03-2FT-11_14_A-OTA,PASS,2025/7/3 9:38,2025/7/3 9:40,20ADkP180.C99DM133,,MA5-DEBUG,,,-139.189941,-138.509888,-138.524597,-137.888885,-138.021805,-138.580338,-139.587982
LXKS,B589,KY00QGT969,B589-PROTO,B589-PROTO_MA5-REL,,LXKS_A03-2FT-11_11_A-OTA,PASS,2025/7/3 9:24,2025/7/3 9:27,20ADkP180.C99DM133,,MA5-REL,,,-139.778015,-138.669525,-138.223251,-137.377136,-137.144775,-138.141571,-138.909302
LXKS,B589,L23TFD7HP1,B589-PROTO,B589-PROTO_ACOUSTICD3,,LXKS_A03-2FT-11_13_A-OTA,PASS,2025/7/3 10:28,2025/7/3 10:30,20ADkP180.C99DM133,,ACOUSTICD3,,,-139.250931,-137.919281,-138.340668,-138.558884,-138.351532,-139.930267,-139.976471
LXKS,B589,L2YWHQ7605,B589-PROTO,B589-PROTO_ACOUSTICD2,,LXKS_A03-2FT-11_9_A-OTA,PASS,2025/7/3 10:33,2025/7/3 10:37,20ADkP180.C99DM133,,ACOUSTICD2,,,-139.429779,-139.124527,-139.071579,-139.52153,-139.60202,-140.65596,-141.213623
LXKS,B589,LGDYHMXYQN,B589-PROTO,B589-PROTO_ACOUSTICD1,,LXKS_A03-2FT-11_10_A-OTA,PASS,2025/7/3 10:17,2025/7/3 10:19,20ADkP180.C99DM133,,ACOUSTICD1,,,-139.384598,-138.313202,-139.01886,-139.341522,-138.838928,-139.97438,-139.869263
LXKS,B589,LHV6J64PPX,B589-PROTO,B589-PROTO_ACOUSTICD1,,LXKS_A03-2FT-11_3_A-OTA,PASS,2025/7/3 10:20,2025/7/3 10:23,20ADkP180.C99DM133,,ACOUSTICD1,,,-138.102951,-137.354156,-137.562881,-138.227509,-138.889633,-140.040436,-140.023773
LXKS,B589,LNWWDN6Q71,B589-PROTO,B589-PROTO_MA5-REL,,LXKS_A03-2FT-11_11_A-OTA,PASS,2025/7/3 9:36,2025/7/3 9:40,20ADkP180.C99DM133,,MA5-REL,,,-140.095367,-139.232498,-139.198196,-139.084656,-138.967789,-139.811829,-140.016068
LXKS,B589,LT00FK2F2R,B589-PROTO,B589-PROTO_ACOUSTICD2,,LXKS_A03-2FT-11_9_A-OTA,PASS,2025/7/3 10:14,2025/7/3 10:17,20ADkP180.C99DM133,,ACOUSTICD2,,,-138.250443,-137.585571,-137.495697,-137.914551,-138.104309,-139.255096,-140.171158
LXKS,B589,LXG666NJHW,B589-PROTO,B589-PROTO_ACOUSTICD1,,LXKS_A03-2FT-11_3_A-OTA,PASS,2025/7/3 10:17,2025/7/3 10:19,20ADkP180.C99DM133,,ACOUSTICD1,,,-138.144211,-137.316452,-137.368408,-137.769653,-138.320221,-139.383347,-139.869247
LXKS,B589,M4Q4K9N0QF,B589-PROTO,B589-PROTO_ACOUSTICD2,,LXKS_A03-2FT-11_5_A-OTA,PASS,2025/7/3 10:04,2025/7/3 10:09,20ADkP180.C99DM133,,ACOUSTICD2,,,-138.450638,-137.455795,-137.793228,-138.055618,-138.302597,-139.729492,-140.322556
LXKS,B589,MGMVY95Y7G,B589-PROTO,B589-PROTO_ACOUSTICD3,,LXKS_A03-2FT-11_14_A-OTA,PASS,2025/7/3 10:28,2025/7/3 10:31,20ADkP180.C99DM133,,ACOUSTICD3,,,-138.492737,-137.410278,-138.09227,-137.964844,-138.001343,-139.048996,-139.550095
LXKS,B589,N65C65W33X,B589-PROTO,B589-PROTO_MA6-RF,,LXKS_A03-2FT-11_13_A-OTA,PASS,2025/7/3 9:25,2025/7/3 9:27,20ADkP180.C99DM133,,MA6-RF,,,-137.387695,-136.768661,-137.620804,-138.244141,-138.070801,-139.480347,-139.637527
LXKS,B589,NCMXR7KK2T,B589-PROTO,B589-PROTO_MA4-DEBUG,,LXKS_A03-2FT-11_11_A-OTA,PASS,2025/7/3 9:30,2025/7/3 9:33,20ADkP180.C99DM133,,MA4-DEBUG,,,-138.204498,-137.817764,-138.196411,-138.410522,-138.782333,-139.992386,-140.72644
LXKS,B589,NHGCF76H9C,B589-PROTO,B589-PROTO_MA4-RF,,LXKS_A03-2FT-11_11_A-OTA,PASS,2025/7/3 9:20,2025/7/3 9:23,20ADkP180.C99DM133,,MA4-RF,,,-137.649323,-137.020477,-137.195053,-137.351761,-137.605301,-138.599091,-139.185379
LXKS,B589,PK9JKW7GWH,B589-PROTO,B589-PROTO_MA4-RF,,LXKS_A03-2FT-11_14_A-OTA,PASS,2025/7/3 9:21,2025/7/3 9:23,20ADkP180.C99DM133,,MA4-RF,,,-138.871597,-138.436234,-138.629578,-138.25293,-138.549713,-138.976105,-139.742111
LXKS,B589,Q4TD4RDFDY,B589-PROTO,B589-PROTO_MA6-RF,,LXKS_A03-2FT-11_13_A-OTA,PASS,2025/7/3 9:31,2025/7/3 9:34,20ADkP180.C99DM133,,MA6-RF,,,-139.0289,-138.044952,-138.953476,-139.400101,-139.073853,-140.192856,-140.599625
LXKS,B589,W94PJX646X,B589-PROTO,B589-PROTO_MA6-DEBUG,,LXKS_A03-2FT-11_13_A-OTA,PASS,2025/7/3 9:22,2025/7/3 9:24,20ADkP180.C99DM133,,MA6-DEBUG,,,-138.492569,-137.457642,-138.14624,-138.252365,-138.084686,-139.290833,-139.576233
LXKS,B589,WJR77W6JCD,B589-PROTO,B589-PROTO_MA5-RF,,LXKS_A03-2FT-11_11_A-OTA,PASS,2025/7/3 9:33,2025/7/3 9:36,20ADkP180.C99DM133,,MA5-RF,,,-138.928436,-138.216156,-137.899139,-137.365463,-137.255219,-138.346664,-139.201355
